	q	m	n	k	odds ratio	p-value	fdr
GeneList255	5.403000e+03	1.086900e+04	1.113100e+04	1.098900e+04	9.812190e-01	2.452549e-01	0.000000e+00
GeneList566	5.577000e+03	1.111300e+04	1.088700e+04	1.098900e+04	1.019133e+00	2.453352e-01	0.000000e+00
GeneList1531	5.416000e+03	1.089500e+04	1.110500e+04	1.098900e+04	9.812292e-01	2.453707e-01	0.000000e+00
GeneList230	5.419000e+03	1.090100e+04	1.109900e+04	1.098900e+04	9.812316e-01	2.453973e-01	0.000000e+00
GeneList1804	5.433000e+03	1.092900e+04	1.107100e+04	1.098900e+04	9.812423e-01	2.455203e-01	0.000000e+00
GeneList921	5.439000e+03	1.094100e+04	1.105900e+04	1.098900e+04	9.812468e-01	2.455727e-01	0.000000e+00
GeneList322	5.444000e+03	1.095100e+04	1.104900e+04	1.098900e+04	9.812506e-01	2.456161e-01	0.000000e+00
GeneList1024	5.545000e+03	1.104900e+04	1.095100e+04	1.098900e+04	1.019108e+00	2.456161e-01	0.000000e+00
GeneList232	5.446000e+03	1.095500e+04	1.104500e+04	1.098900e+04	9.812520e-01	2.456334e-01	0.000000e+00
GeneList1832	5.449000e+03	1.096100e+04	1.103900e+04	1.098900e+04	9.812543e-01	2.456593e-01	0.000000e+00
GeneList181	5.453000e+03	1.096900e+04	1.103100e+04	1.098900e+04	9.812572e-01	2.456938e-01	0.000000e+00
GeneList1248	5.460000e+03	1.098300e+04	1.101700e+04	1.098900e+04	9.812623e-01	2.457538e-01	0.000000e+00
GeneList1950	5.522000e+03	1.100300e+04	1.099700e+04	1.098900e+04	1.019090e+00	2.458135e-01	0.000000e+00
GeneList1542	5.475000e+03	1.101300e+04	1.098700e+04	1.098900e+04	9.812730e-01	2.458813e-01	0.000000e+00
GeneList1566	5.476000e+03	1.101500e+04	1.098500e+04	1.098900e+04	9.812737e-01	2.458898e-01	0.000000e+00
GeneList1387	5.510000e+03	1.097900e+04	1.102100e+04	1.098900e+04	1.019081e+00	2.459151e-01	0.000000e+00
GeneList1996	5.506000e+03	1.097100e+04	1.102900e+04	1.098900e+04	1.019079e+00	2.459487e-01	0.000000e+00
GeneList920	5.503000e+03	1.096500e+04	1.103500e+04	1.098900e+04	1.019076e+00	2.459738e-01	0.000000e+00
GeneList1907	5.494000e+03	1.105100e+04	1.094900e+04	1.098900e+04	9.812862e-01	2.460406e-01	0.000000e+00
GeneList138	5.487000e+03	1.093300e+04	1.106700e+04	1.098900e+04	1.019065e+00	2.461069e-01	0.000000e+00
GeneList659	5.507000e+03	1.107700e+04	1.092300e+04	1.098900e+04	9.812950e-01	2.461481e-01	0.000000e+00
GeneList548	5.509000e+03	1.108100e+04	1.091900e+04	1.098900e+04	9.812963e-01	2.461645e-01	0.000000e+00
GeneList652	5.518000e+03	1.109900e+04	1.090100e+04	1.098900e+04	9.813022e-01	2.462381e-01	0.000000e+00
GeneList1237	5.523000e+03	1.110900e+04	1.089100e+04	1.098900e+04	9.813055e-01	2.462787e-01	0.000000e+00
GeneList893	5.523000e+03	1.110900e+04	1.089100e+04	1.098900e+04	9.813055e-01	2.462787e-01	0.000000e+00
GeneList848	5.559000e+03	1.118100e+04	1.081900e+04	1.098900e+04	9.813280e-01	2.465663e-01	0.000000e+00
GeneList950	5.603000e+03	1.116600e+04	1.083400e+04	1.098900e+04	1.018784e+00	2.493571e-01	0.000000e+00
GeneList266	5.588000e+03	1.113600e+04	1.086400e+04	1.098900e+04	1.018772e+00	2.494936e-01	0.000000e+00
GeneList423	5.440000e+03	1.094200e+04	1.105800e+04	1.098900e+04	9.816041e-01	2.498410e-01	0.000000e+00
GeneList1872	5.541000e+03	1.104200e+04	1.095800e+04	1.098900e+04	1.018734e+00	2.499109e-01	0.000000e+00
GeneList512	5.455000e+03	1.097200e+04	1.102800e+04	1.098900e+04	9.816152e-01	2.499718e-01	0.000000e+00
GeneList1930	5.529000e+03	1.101800e+04	1.098200e+04	1.098900e+04	1.018725e+00	2.500150e-01	0.000000e+00
GeneList1038	5.469000e+03	1.100000e+04	1.100000e+04	1.098900e+04	9.816253e-01	2.500925e-01	0.000000e+00
GeneList1244	5.519000e+03	1.099800e+04	1.100200e+04	1.098900e+04	1.018718e+00	2.501010e-01	0.000000e+00
GeneList1728	5.475000e+03	1.101200e+04	1.098800e+04	1.098900e+04	9.816296e-01	2.501438e-01	0.000000e+00
GeneList368	5.513000e+03	1.098600e+04	1.101400e+04	1.098900e+04	1.018713e+00	2.501523e-01	0.000000e+00
GeneList191	5.512000e+03	1.098400e+04	1.101600e+04	1.098900e+04	1.018713e+00	2.501608e-01	0.000000e+00
GeneList1401	5.505000e+03	1.097000e+04	1.103000e+04	1.098900e+04	1.018708e+00	2.502203e-01	0.000000e+00
GeneList1054	5.502000e+03	1.096400e+04	1.103600e+04	1.098900e+04	1.018706e+00	2.502456e-01	0.000000e+00
GeneList696	5.482000e+03	1.092400e+04	1.107600e+04	1.098900e+04	1.018691e+00	2.504132e-01	0.000000e+00
GeneList519	5.508000e+03	1.107800e+04	1.092200e+04	1.098900e+04	9.816522e-01	2.504215e-01	0.000000e+00
GeneList1255	5.514000e+03	1.109000e+04	1.091000e+04	1.098900e+04	9.816562e-01	2.504712e-01	0.000000e+00
GeneList1589	5.556000e+03	1.117400e+04	1.082600e+04	1.098900e+04	9.816829e-01	2.508120e-01	0.000000e+00
GeneList1919	5.602000e+03	1.116500e+04	1.083500e+04	1.098900e+04	1.018414e+00	2.536607e-01	0.000000e+00
GeneList1546	5.569000e+03	1.109900e+04	1.090100e+04	1.098900e+04	1.018386e+00	2.539611e-01	0.000000e+00
GeneList1379	5.433000e+03	1.092700e+04	1.107300e+04	1.098900e+04	9.819555e-01	2.540774e-01	0.000000e+00
GeneList1069	5.434000e+03	1.092900e+04	1.107100e+04	1.098900e+04	9.819562e-01	2.540863e-01	0.000000e+00
GeneList830	5.544000e+03	1.104900e+04	1.095100e+04	1.098900e+04	1.018367e+00	2.541837e-01	0.000000e+00
GeneList1470	5.447000e+03	1.095500e+04	1.104500e+04	1.098900e+04	9.819660e-01	2.542013e-01	0.000000e+00
GeneList272	5.542000e+03	1.104500e+04	1.095500e+04	1.098900e+04	1.018365e+00	2.542013e-01	0.000000e+00
GeneList1243	5.454000e+03	1.096900e+04	1.103100e+04	1.098900e+04	9.819711e-01	2.542627e-01	0.000000e+00
GeneList742	5.534000e+03	1.102900e+04	1.097100e+04	1.098900e+04	1.018359e+00	2.542715e-01	0.000000e+00
GeneList723	5.527000e+03	1.101500e+04	1.098500e+04	1.098900e+04	1.018354e+00	2.543326e-01	0.000000e+00
GeneList1373	5.518000e+03	1.099700e+04	1.100300e+04	1.098900e+04	1.018347e+00	2.544106e-01	0.000000e+00
GeneList709	5.518000e+03	1.099700e+04	1.100300e+04	1.098900e+04	1.018347e+00	2.544106e-01	0.000000e+00
GeneList1820	5.473000e+03	1.100700e+04	1.099300e+04	1.098900e+04	9.819848e-01	2.544278e-01	0.000000e+00
GeneList120	5.515000e+03	1.099100e+04	1.100900e+04	1.098900e+04	1.018345e+00	2.544365e-01	0.000000e+00
GeneList43	5.502000e+03	1.096500e+04	1.103500e+04	1.098900e+04	1.018335e+00	2.545479e-01	0.000000e+00
GeneList1410	5.497000e+03	1.095500e+04	1.104500e+04	1.098900e+04	1.018332e+00	2.545905e-01	0.000000e+00
GeneList1363	5.495000e+03	1.105100e+04	1.094900e+04	1.098900e+04	9.820002e-01	2.546159e-01	0.000000e+00
GeneList1626	5.497000e+03	1.105500e+04	1.094500e+04	1.098900e+04	9.820015e-01	2.546329e-01	0.000000e+00
GeneList219	5.509000e+03	1.107900e+04	1.092100e+04	1.098900e+04	9.820096e-01	2.547339e-01	0.000000e+00
GeneList1242	5.509000e+03	1.107900e+04	1.092100e+04	1.098900e+04	9.820096e-01	2.547339e-01	0.000000e+00
GeneList1721	5.465000e+03	1.089100e+04	1.110900e+04	1.098900e+04	1.018310e+00	2.548588e-01	0.000000e+00
GeneList875	5.527000e+03	1.111500e+04	1.088500e+04	1.098900e+04	9.820215e-01	2.548836e-01	0.000000e+00
GeneList468	5.405000e+03	1.087000e+04	1.113000e+04	1.098900e+04	9.822906e-01	2.581598e-01	0.000000e+00
GeneList1002	5.453000e+03	1.096600e+04	1.103400e+04	1.098900e+04	9.823272e-01	2.585920e-01	0.000000e+00
GeneList1437	5.535000e+03	1.103200e+04	1.096800e+04	1.098900e+04	1.017990e+00	2.586008e-01	0.000000e+00
GeneList1256	5.456000e+03	1.097200e+04	1.102800e+04	1.098900e+04	9.823294e-01	2.586185e-01	0.000000e+00
GeneList1240	5.531000e+03	1.102400e+04	1.097600e+04	1.098900e+04	1.017987e+00	2.586361e-01	0.000000e+00
GeneList492	5.526000e+03	1.101400e+04	1.098600e+04	1.098900e+04	1.017983e+00	2.586801e-01	0.000000e+00
GeneList544	5.520000e+03	1.100200e+04	1.099800e+04	1.098900e+04	1.017979e+00	2.587326e-01	0.000000e+00
GeneList54	5.482000e+03	1.102400e+04	1.097600e+04	1.098900e+04	9.823480e-01	2.588455e-01	0.000000e+00
GeneList1524	5.496000e+03	1.095400e+04	1.104600e+04	1.098900e+04	1.017961e+00	2.589402e-01	0.000000e+00
GeneList727	5.498000e+03	1.105600e+04	1.094400e+04	1.098900e+04	9.823590e-01	2.589830e-01	0.000000e+00
GeneList818	5.482000e+03	1.092600e+04	1.107400e+04	1.098900e+04	1.017951e+00	2.590595e-01	0.000000e+00
GeneList1332	5.475000e+03	1.091200e+04	1.108800e+04	1.098900e+04	1.017947e+00	2.591187e-01	0.000000e+00
GeneList381	5.530000e+03	1.112000e+04	1.088000e+04	1.098900e+04	9.823803e-01	2.592527e-01	0.000000e+00
GeneList1558	5.421000e+03	1.080400e+04	1.119600e+04	1.098900e+04	1.017911e+00	2.595640e-01	0.000000e+00
GeneList1860	5.559000e+03	1.108100e+04	1.091900e+04	1.098900e+04	1.017639e+00	2.627611e-01	0.000000e+00
GeneList1774	5.549000e+03	1.106100e+04	1.093900e+04	1.098900e+04	1.017631e+00	2.628515e-01	0.000000e+00
GeneList585	5.536000e+03	1.103500e+04	1.096500e+04	1.098900e+04	1.017621e+00	2.629680e-01	0.000000e+00
GeneList105	5.535000e+03	1.103300e+04	1.096700e+04	1.098900e+04	1.017620e+00	2.629769e-01	0.000000e+00
GeneList615	5.454000e+03	1.096700e+04	1.103300e+04	1.098900e+04	9.826848e-01	2.629769e-01	0.000000e+00
GeneList1751	5.534000e+03	1.103100e+04	1.096900e+04	1.098900e+04	1.017620e+00	2.629858e-01	0.000000e+00
GeneList1674	5.531000e+03	1.102500e+04	1.097500e+04	1.098900e+04	1.017617e+00	2.630125e-01	0.000000e+00
GeneList1012	5.529000e+03	1.102100e+04	1.097900e+04	1.098900e+04	1.017616e+00	2.630303e-01	0.000000e+00
GeneList943	5.470000e+03	1.099900e+04	1.100100e+04	1.098900e+04	9.826964e-01	2.631187e-01	0.000000e+00
GeneList93	5.477000e+03	1.101300e+04	1.098700e+04	1.098900e+04	9.827014e-01	2.631801e-01	0.000000e+00
GeneList606	5.482000e+03	1.102300e+04	1.097700e+04	1.098900e+04	9.827049e-01	2.632238e-01	0.000000e+00
GeneList1874	5.482000e+03	1.102300e+04	1.097700e+04	1.098900e+04	9.827049e-01	2.632238e-01	0.000000e+00
GeneList262	5.487000e+03	1.103300e+04	1.096700e+04	1.098900e+04	9.827084e-01	2.632674e-01	0.000000e+00
GeneList841	5.490000e+03	1.103900e+04	1.096100e+04	1.098900e+04	9.827105e-01	2.632934e-01	0.000000e+00
GeneList869	5.498000e+03	1.105500e+04	1.094500e+04	1.098900e+04	9.827160e-01	2.633626e-01	0.000000e+00
GeneList441	5.490000e+03	1.094300e+04	1.105700e+04	1.098900e+04	1.017587e+00	2.633712e-01	0.000000e+00
GeneList703	5.472000e+03	1.090700e+04	1.109300e+04	1.098900e+04	1.017575e+00	2.635251e-01	0.000000e+00
GeneList1714	5.468000e+03	1.089900e+04	1.110100e+04	1.098900e+04	1.017572e+00	2.635590e-01	0.000000e+00
GeneList1283	5.557000e+03	1.117300e+04	1.082700e+04	1.098900e+04	9.827544e-01	2.638594e-01	0.000000e+00
GeneList345	5.591000e+03	1.114600e+04	1.085400e+04	1.098900e+04	1.017295e+00	2.668769e-01	0.000000e+00
GeneList170	5.404000e+03	1.086600e+04	1.113400e+04	1.098900e+04	9.830038e-01	2.669329e-01	0.000000e+00
GeneList507	5.424000e+03	1.090600e+04	1.109400e+04	1.098900e+04	9.830194e-01	2.671179e-01	0.000000e+00
GeneList1901	5.425000e+03	1.090800e+04	1.109200e+04	1.098900e+04	9.830201e-01	2.671271e-01	0.000000e+00
GeneList1050	5.561000e+03	1.108600e+04	1.091400e+04	1.098900e+04	1.017271e+00	2.671546e-01	0.000000e+00
GeneList1057	5.551000e+03	1.106600e+04	1.093400e+04	1.098900e+04	1.017263e+00	2.672459e-01	0.000000e+00
GeneList874	5.453000e+03	1.096400e+04	1.103600e+04	1.098900e+04	9.830411e-01	2.673816e-01	0.000000e+00
GeneList1796	5.458000e+03	1.097400e+04	1.102600e+04	1.098900e+04	9.830448e-01	2.674265e-01	0.000000e+00
GeneList320	5.505000e+03	1.097400e+04	1.102600e+04	1.098900e+04	1.017228e+00	2.676572e-01	0.000000e+00
GeneList478	5.490000e+03	1.103800e+04	1.096200e+04	1.098900e+04	9.830676e-01	2.677099e-01	0.000000e+00
GeneList579	5.492000e+03	1.094800e+04	1.105200e+04	1.098900e+04	1.017219e+00	2.677710e-01	0.000000e+00
GeneList747	5.522000e+03	1.110200e+04	1.089800e+04	1.098900e+04	9.830892e-01	2.679865e-01	0.000000e+00
GeneList868	5.590000e+03	1.114500e+04	1.085500e+04	1.098900e+04	1.016925e+00	2.713329e-01	0.000000e+00
GeneList245	5.403000e+03	1.086300e+04	1.113700e+04	1.098900e+04	9.833602e-01	2.713705e-01	0.000000e+00
GeneList1423	5.415000e+03	1.088700e+04	1.111300e+04	1.098900e+04	9.833696e-01	2.714828e-01	0.000000e+00
GeneList1015	5.536000e+03	1.103700e+04	1.096300e+04	1.098900e+04	1.016882e+00	2.718322e-01	0.000000e+00
GeneList1477	5.457000e+03	1.097100e+04	1.102900e+04	1.098900e+04	9.834013e-01	2.718684e-01	0.000000e+00
GeneList1236	5.526000e+03	1.101700e+04	1.098300e+04	1.098900e+04	1.016874e+00	2.719226e-01	0.000000e+00
GeneList1742	5.464000e+03	1.098500e+04	1.101500e+04	1.098900e+04	9.834063e-01	2.719316e-01	0.000000e+00
GeneList1163	5.517000e+03	1.099900e+04	1.100100e+04	1.098900e+04	1.016868e+00	2.720034e-01	0.000000e+00
GeneList825	5.474000e+03	1.100500e+04	1.099500e+04	1.098900e+04	9.834135e-01	2.720212e-01	0.000000e+00
GeneList738	5.474000e+03	1.100500e+04	1.099500e+04	1.098900e+04	9.834135e-01	2.720212e-01	0.000000e+00
GeneList549	5.512000e+03	1.098900e+04	1.101100e+04	1.098900e+04	1.016864e+00	2.720480e-01	0.000000e+00
GeneList1609	5.499000e+03	1.096300e+04	1.103700e+04	1.098900e+04	1.016855e+00	2.721633e-01	0.000000e+00
GeneList1532	5.498000e+03	1.096100e+04	1.103900e+04	1.098900e+04	1.016854e+00	2.721722e-01	0.000000e+00
GeneList1571	5.494000e+03	1.095300e+04	1.104700e+04	1.098900e+04	1.016851e+00	2.722074e-01	0.000000e+00
GeneList456	5.505000e+03	1.106700e+04	1.093300e+04	1.098900e+04	9.834351e-01	2.722950e-01	0.000000e+00
GeneList698	5.508000e+03	1.107300e+04	1.092700e+04	1.098900e+04	9.834371e-01	2.723212e-01	0.000000e+00
GeneList386	5.517000e+03	1.109100e+04	1.090900e+04	1.098900e+04	9.834432e-01	2.723994e-01	0.000000e+00
GeneList285	5.521000e+03	1.109900e+04	1.090100e+04	1.098900e+04	9.834458e-01	2.724339e-01	0.000000e+00
GeneList1647	5.405000e+03	1.086600e+04	1.113400e+04	1.098900e+04	9.837191e-01	2.758730e-01	0.000000e+00
GeneList78	5.450000e+03	1.095600e+04	1.104400e+04	1.098900e+04	9.837534e-01	2.762919e-01	0.000000e+00
GeneList1809	5.451000e+03	1.095800e+04	1.104200e+04	1.098900e+04	9.837542e-01	2.763011e-01	0.000000e+00
GeneList1194	5.538000e+03	1.104200e+04	1.095800e+04	1.098900e+04	1.016514e+00	2.763011e-01	0.000000e+00
GeneList892	5.452000e+03	1.096000e+04	1.104000e+04	1.098900e+04	9.837549e-01	2.763102e-01	0.000000e+00
GeneList937	5.533000e+03	1.103200e+04	1.096800e+04	1.098900e+04	1.016510e+00	2.763468e-01	0.000000e+00
GeneList1624	5.529000e+03	1.102400e+04	1.097600e+04	1.098900e+04	1.016507e+00	2.763832e-01	0.000000e+00
GeneList1622	5.517000e+03	1.100000e+04	1.100000e+04	1.098900e+04	1.016498e+00	2.764920e-01	0.000000e+00
GeneList1001	5.473000e+03	1.100200e+04	1.099800e+04	1.098900e+04	9.837701e-01	2.765010e-01	0.000000e+00
GeneList445	5.475000e+03	1.100600e+04	1.099400e+04	1.098900e+04	9.837716e-01	2.765190e-01	0.000000e+00
GeneList1498	5.477000e+03	1.101000e+04	1.099000e+04	1.098900e+04	9.837730e-01	2.765370e-01	0.000000e+00
GeneList786	5.479000e+03	1.101400e+04	1.098600e+04	1.098900e+04	9.837744e-01	2.765550e-01	0.000000e+00
GeneList1569	5.488000e+03	1.103200e+04	1.096800e+04	1.098900e+04	9.837807e-01	2.766355e-01	0.000000e+00
GeneList427	5.501000e+03	1.096800e+04	1.103200e+04	1.098900e+04	1.016487e+00	2.766355e-01	0.000000e+00
GeneList152	5.478000e+03	1.092200e+04	1.107800e+04	1.098900e+04	1.016470e+00	2.768390e-01	0.000000e+00
GeneList1670	5.532000e+03	1.112000e+04	1.088000e+04	1.098900e+04	9.838104e-01	2.770218e-01	0.000000e+00
GeneList1515	5.566000e+03	1.109900e+04	1.090100e+04	1.098900e+04	1.016167e+00	2.805632e-01	0.000000e+00
GeneList1747	5.558000e+03	1.108300e+04	1.091700e+04	1.098900e+04	1.016160e+00	2.806383e-01	0.000000e+00
GeneList1615	5.557000e+03	1.108100e+04	1.091900e+04	1.098900e+04	1.016160e+00	2.806476e-01	0.000000e+00
GeneList108	5.437000e+03	1.092900e+04	1.107100e+04	1.098900e+04	9.841012e-01	2.806943e-01	0.000000e+00
GeneList355	5.452000e+03	1.095900e+04	1.104100e+04	1.098900e+04	9.841123e-01	2.808334e-01	0.000000e+00
GeneList1549	5.453000e+03	1.096100e+04	1.103900e+04	1.098900e+04	9.841131e-01	2.808426e-01	0.000000e+00
GeneList1467	5.533000e+03	1.103300e+04	1.096700e+04	1.098900e+04	1.016141e+00	2.808702e-01	0.000000e+00
GeneList1563	5.458000e+03	1.097100e+04	1.102900e+04	1.098900e+04	9.841167e-01	2.808886e-01	0.000000e+00
GeneList517	5.530000e+03	1.102700e+04	1.097300e+04	1.098900e+04	1.016139e+00	2.808978e-01	0.000000e+00
GeneList162	5.462000e+03	1.097900e+04	1.102100e+04	1.098900e+04	9.841196e-01	2.809253e-01	0.000000e+00
GeneList1027	5.475000e+03	1.100500e+04	1.099500e+04	1.098900e+04	9.841290e-01	2.810439e-01	0.000000e+00
GeneList1003	5.509000e+03	1.098500e+04	1.101500e+04	1.098900e+04	1.016123e+00	2.810892e-01	0.000000e+00
GeneList375	5.480000e+03	1.101500e+04	1.098500e+04	1.098900e+04	9.841326e-01	2.810892e-01	0.000000e+00
GeneList1982	5.507000e+03	1.098100e+04	1.101900e+04	1.098900e+04	1.016122e+00	2.811072e-01	0.000000e+00
GeneList1253	5.487000e+03	1.102900e+04	1.097100e+04	1.098900e+04	9.841375e-01	2.811523e-01	0.000000e+00
GeneList1938	5.500000e+03	1.096700e+04	1.103300e+04	1.098900e+04	1.016117e+00	2.811703e-01	0.000000e+00
GeneList731	5.500000e+03	1.096700e+04	1.103300e+04	1.098900e+04	1.016117e+00	2.811703e-01	0.000000e+00
GeneList215	5.498000e+03	1.096300e+04	1.103700e+04	1.098900e+04	1.016115e+00	2.811883e-01	0.000000e+00
GeneList1533	5.492000e+03	1.103900e+04	1.096100e+04	1.098900e+04	9.841410e-01	2.811973e-01	0.000000e+00
GeneList204	5.493000e+03	1.104100e+04	1.095900e+04	1.098900e+04	9.841417e-01	2.812062e-01	0.000000e+00
GeneList1574	5.496000e+03	1.095900e+04	1.104100e+04	1.098900e+04	1.016114e+00	2.812062e-01	0.000000e+00
GeneList1905	5.491000e+03	1.094900e+04	1.105100e+04	1.098900e+04	1.016110e+00	2.812510e-01	0.000000e+00
GeneList577	5.491000e+03	1.094900e+04	1.105100e+04	1.098900e+04	1.016110e+00	2.812510e-01	0.000000e+00
GeneList339	5.498000e+03	1.105100e+04	1.094900e+04	1.098900e+04	9.841451e-01	2.812510e-01	0.000000e+00
GeneList130	5.529000e+03	1.111300e+04	1.088700e+04	1.098900e+04	9.841660e-01	2.815249e-01	0.000000e+00
GeneList1137	5.540000e+03	1.113500e+04	1.086500e+04	1.098900e+04	9.841732e-01	2.816206e-01	0.000000e+00
GeneList1536	5.601000e+03	1.117000e+04	1.083000e+04	1.098900e+04	1.015826e+00	2.847843e-01	0.000000e+00
GeneList1458	5.567000e+03	1.110200e+04	1.089800e+04	1.098900e+04	1.015798e+00	2.851104e-01	0.000000e+00
GeneList1212	5.558000e+03	1.108400e+04	1.091600e+04	1.098900e+04	1.015791e+00	2.851955e-01	0.000000e+00
GeneList1043	5.536000e+03	1.104000e+04	1.096000e+04	1.098900e+04	1.015774e+00	2.854013e-01	0.000000e+00
GeneList410	5.526000e+03	1.102000e+04	1.098000e+04	1.098900e+04	1.015767e+00	2.854939e-01	0.000000e+00
GeneList376	5.464000e+03	1.098200e+04	1.101800e+04	1.098900e+04	9.844787e-01	2.855031e-01	0.000000e+00
GeneList1921	5.525000e+03	1.101800e+04	1.098200e+04	1.098900e+04	1.015766e+00	2.855031e-01	0.000000e+00
GeneList1074	5.465000e+03	1.098400e+04	1.101600e+04	1.098900e+04	9.844794e-01	2.855123e-01	0.000000e+00
GeneList1810	5.523000e+03	1.101400e+04	1.098600e+04	1.098900e+04	1.015765e+00	2.855215e-01	0.000000e+00
GeneList896	5.468000e+03	1.099000e+04	1.101000e+04	1.098900e+04	9.844816e-01	2.855400e-01	0.000000e+00
GeneList1687	5.477000e+03	1.100800e+04	1.099200e+04	1.098900e+04	9.844880e-01	2.856225e-01	0.000000e+00
GeneList261	5.505000e+03	1.097800e+04	1.102200e+04	1.098900e+04	1.015751e+00	2.856863e-01	0.000000e+00
GeneList881	5.487000e+03	1.102800e+04	1.097200e+04	1.098900e+04	9.844951e-01	2.857135e-01	0.000000e+00
GeneList1107	5.497000e+03	1.096200e+04	1.103800e+04	1.098900e+04	1.015746e+00	2.857589e-01	0.000000e+00
GeneList1853	5.496000e+03	1.096000e+04	1.104000e+04	1.098900e+04	1.015745e+00	2.857679e-01	0.000000e+00
GeneList42	5.508000e+03	1.107000e+04	1.093000e+04	1.098900e+04	9.845096e-01	2.859028e-01	0.000000e+00
GeneList155	5.463000e+03	1.089400e+04	1.110600e+04	1.098900e+04	1.015722e+00	2.860628e-01	0.000000e+00
GeneList1207	5.538000e+03	1.113000e+04	1.087000e+04	1.098900e+04	9.845296e-01	2.861684e-01	0.000000e+00
GeneList1281	5.556000e+03	1.116600e+04	1.083400e+04	1.098900e+04	9.845411e-01	2.863251e-01	0.000000e+00
GeneList1638	5.583000e+03	1.122000e+04	1.078000e+04	1.098900e+04	9.845578e-01	2.865564e-01	0.000000e+00
GeneList605	5.570000e+03	1.110900e+04	1.089100e+04	1.098900e+04	1.015432e+00	2.896732e-01	0.000000e+00
GeneList301	5.554000e+03	1.107700e+04	1.092300e+04	1.098900e+04	1.015419e+00	2.898255e-01	0.000000e+00
GeneList154	5.539000e+03	1.104700e+04	1.095300e+04	1.098900e+04	1.015408e+00	2.899669e-01	0.000000e+00
GeneList318	5.456000e+03	1.096500e+04	1.103500e+04	1.098900e+04	9.848305e-01	2.900230e-01	0.000000e+00
GeneList509	5.465000e+03	1.098300e+04	1.101700e+04	1.098900e+04	9.848371e-01	2.901069e-01	0.000000e+00
GeneList295	5.470000e+03	1.099300e+04	1.100700e+04	1.098900e+04	9.848407e-01	2.901532e-01	0.000000e+00
GeneList1491	5.490000e+03	1.103300e+04	1.096700e+04	1.098900e+04	9.848549e-01	2.903371e-01	0.000000e+00
GeneList802	5.491000e+03	1.103500e+04	1.096500e+04	1.098900e+04	9.848556e-01	2.903462e-01	0.000000e+00
GeneList1908	5.495000e+03	1.095900e+04	1.104100e+04	1.098900e+04	1.015375e+00	2.903736e-01	0.000000e+00
GeneList1500	5.492000e+03	1.095300e+04	1.104700e+04	1.098900e+04	1.015373e+00	2.904009e-01	0.000000e+00
GeneList1801	5.518000e+03	1.108900e+04	1.091100e+04	1.098900e+04	9.848741e-01	2.905904e-01	0.000000e+00
GeneList632	5.462000e+03	1.089300e+04	1.110700e+04	1.098900e+04	1.015352e+00	2.906708e-01	0.000000e+00
GeneList1686	5.449000e+03	1.086700e+04	1.113300e+04	1.098900e+04	1.015343e+00	2.907861e-01	0.000000e+00
GeneList1773	5.416000e+03	1.088400e+04	1.111600e+04	1.098900e+04	9.851582e-01	2.942700e-01	0.000000e+00
GeneList744	5.417000e+03	1.088600e+04	1.111400e+04	1.098900e+04	9.851590e-01	2.942797e-01	0.000000e+00
GeneList1619	5.556000e+03	1.108200e+04	1.091800e+04	1.098900e+04	1.015052e+00	2.944332e-01	0.000000e+00
GeneList668	5.553000e+03	1.107600e+04	1.092400e+04	1.098900e+04	1.015050e+00	2.944619e-01	0.000000e+00
GeneList1942	5.449000e+03	1.095000e+04	1.105000e+04	1.098900e+04	9.851832e-01	2.945852e-01	0.000000e+00
GeneList1110	5.451000e+03	1.095400e+04	1.104600e+04	1.098900e+04	9.851847e-01	2.946041e-01	0.000000e+00
GeneList983	5.533000e+03	1.103600e+04	1.096400e+04	1.098900e+04	1.015034e+00	2.946513e-01	0.000000e+00
GeneList911	5.531000e+03	1.103200e+04	1.096800e+04	1.098900e+04	1.015033e+00	2.946701e-01	0.000000e+00
GeneList1320	5.527000e+03	1.102400e+04	1.097600e+04	1.098900e+04	1.015030e+00	2.947076e-01	0.000000e+00
GeneList667	5.514000e+03	1.099800e+04	1.100200e+04	1.098900e+04	1.015020e+00	2.948290e-01	0.000000e+00
GeneList279	5.512000e+03	1.099400e+04	1.100600e+04	1.098900e+04	1.015019e+00	2.948476e-01	0.000000e+00
GeneList759	5.485000e+03	1.102200e+04	1.097800e+04	1.098900e+04	9.852092e-01	2.949216e-01	0.000000e+00
GeneList1952	5.496000e+03	1.096200e+04	1.103800e+04	1.098900e+04	1.015007e+00	2.949953e-01	0.000000e+00
GeneList1471	5.490000e+03	1.095000e+04	1.105000e+04	1.098900e+04	1.015003e+00	2.950504e-01	0.000000e+00
GeneList1413	5.505000e+03	1.106200e+04	1.093800e+04	1.098900e+04	9.852232e-01	2.951052e-01	0.000000e+00
GeneList1933	5.479000e+03	1.092800e+04	1.107200e+04	1.098900e+04	1.014995e+00	2.951507e-01	0.000000e+00
GeneList1877	5.532000e+03	1.111600e+04	1.088400e+04	1.098900e+04	9.852413e-01	2.953491e-01	0.000000e+00
GeneList287	5.592000e+03	1.115500e+04	1.084500e+04	1.098900e+04	1.014712e+00	2.987437e-01	0.000000e+00
GeneList406	5.574000e+03	1.111900e+04	1.088100e+04	1.098900e+04	1.014697e+00	2.989197e-01	0.000000e+00
GeneList531	5.548000e+03	1.106700e+04	1.093300e+04	1.098900e+04	1.014677e+00	2.991704e-01	0.000000e+00
